,year,title,abstract,Targeted organisms,Technical target,Methods,Topics
416,2021,Evaluation of Changes to the Oral Microbiome Based on 16S rRNA Sequencing among Children Treated for Cancer,"Simple Summary Childhood cancer survivors suffer from many oral complications during and after primary therapy. Our study focuses on changes in the oral microbiome of cancer survivors. Using 16S rRNA sequencing, we observed global and distinct changes in oral microbiome associated with a patient’s age and therapy duration, but not antibiotic therapy or cancer type. Observed changes in the oral microbiome could differentiate patients at higher risk of long-term oral complications. Abstract A child’s mouth is the gateway to many species of bacteria. Changes in the oral microbiome may affect the health of the entire body. The aim of the study was to evaluate the changes in the oral microbiome of childhood cancer survivors. Saliva samples before and after anti-cancer treatment were collected from 20 patients aged 6–18 years, diagnosed de novo with cancer in 2018–2019 (7 girls and 13 boys, 7.5–19 years old at the second time point). Bacterial DNA was extracted, and the microbial community profiles were assessed by 16S rRNA sequencing. The relative abundances of Cellulosilyticum and Tannerella genera were found to significantly change throughout therapy (p = 0.043 and p = 0.036, respectively). However, no differences in the alpha-diversity were observed (p = 0.817). The unsupervised classification revealed two clusters of patients: the first with significant changes in Campylobacter and Fusobacterium abundance, and the other with change in Neisseria. These two groups of patients differed in median age (10.25 vs. 16.16 years; p = 0.004) and the length of anti-cancer therapy (19 vs. 4 months; p = 0.003), but not cancer type or antibiotic treatment.","Bacteria, Microbiome",Community (taxonomy) profiling,Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
417,2021,Strengths and caveats of identifying resistance genes from whole genome sequencing data,"ABSTRACT Introduction Antimicrobial resistance (AMR) continues to present major challenges to modern healthcare. Recent advances in whole-genome sequencing (WGS) have made the rapid molecular characterization of AMR a realistic possibility for diagnostic laboratories; yet major barriers to clinical implementation exist. Areas covered We describe and compare short- and long-read sequencing platforms, typical components of bioinformatics pipelines, tools for AMR gene detection and the relative merits of read- or assembly-based approaches. The challenges of characterizing mobile genetic elements from genomic data are outlined, as well as the complexities inherent to the prediction of phenotypic resistance from WGS. Practical obstacles to implementation in diagnostic laboratories, the critical role of quality control and external quality assurance, as well as standardized reporting standards are also discussed. Future directions, such as the application of machine-learning and artificial intelligence algorithms, linked to clinically meaningful outcomes, may offer a new paradigm for the clinical application of AMR prediction. Expert opinion AMR prediction from WGS data presents an exciting opportunity to advance our capacity to comprehensively characterize infectious pathogens in a rapid manner, ultimately aiming to improve patient outcomes. Collaborative efforts between clinicians, scientists, regulatory bodies and healthcare administrators will be critical to achieve the full promise of this approach.",Pathogen,"AMR, MAGs",(Meta)genomics,Health & Disease
418,2021,Metataxonomic Analysis of Bacteria Entrapped in a Stalactite’s Core and Their Possible Environmental Origins,"Much is known about microbes originally identified in caves, but little is known about the entrapment of microbes (bacteria) in stalactites and their possible environmental origins. This study presents data regarding the significant environmental distribution of prokaryotic bacterial taxa of a Greek stalactite core. We investigated the involvement of those bacteria communities in stalactites using a metataxonomic analysis approach of partial 16S rRNA genes. The metataxonomic analysis of stalactite core material revealed an exceptionally broad ecological spectrum of bacteria classified as members of Proteobacteria, Actinobacteria, Firmicutes, Verrucomicrobia, and other unclassified bacteria. We concluded that (i) the bacterial transport process is possible through water movement from the upper ground cave environment, forming cave speleothems such as stalactites, (ii) bacterial genera such as Polaromonas, Thioprofundum, and phylum Verrucomicrobia trapped inside the stalactite support the paleoecology, paleomicrobiology, and paleoclimate variations, (iii) the entrapment of certain bacteria taxa associated with water, soil, animals, and plants such as Micrococcales, Propionibacteriales, Acidimicrobiales, Pseudonocardiales, and α-, β-, and γ-Proteobacteria.","Bacteria, Microbiome",Community (taxonomy) profiling,Metabarcoding,Ecosystem Dynamics & Biodiversity
419,2021,Seasonal diets supersede host species in shaping the distal gut microbiota of Yaks and Tibetan sheep,"Yaks and Tibetan sheep are important and renowned livestock of the Qinghai-Tibetan Plateau (QTP). Both host genetics and environmental factors can shape the composition of gut microbiota, however, there is still no consensus on which is the more dominant factor. To investigate the influence of hosts and seasons on the gut microbiome diversity component, we collected fecal samples from yaks and Tibetan sheep across different seasons (summer and winter), during which they consumed different diets. Using 16S rRNA sequencing, principal component analysis (PCoA) data showed that PCo1 explained 57.4% of the observed variance (P = 0.001) and clearly divided winter samples from summer ones, while PCo2 explained 7.1% of observed variance (P = 0.001) and mainly highlighted differences in host species. Cluster analysis data revealed that the gut microbiota composition displayed a convergence caused by season and not by genetics. Further, we profiled the gut microbial community and found that the more dominant genera in yak and Tibetan sheep microbiota were influenced by seasonal diets factors rather than genetics. This study therefore indicated that seasonal diet can trump host genetics even at higher taxonomic levels, thus providing a cautionary note for the breeding and management of these two species.",Microbiome,Community (taxonomy) profiling,Metabarcoding,Ecosystem Dynamics & Biodiversity
420,2021,"Genome In Silico and In Vitro Analysis of the Probiotic Properties of a Bacterial Endophyte, Bacillus Paranthracis Strain MHSD3","Spore-forming Bacillus species are gaining interest in human health recently, due to their ability to withstand the harsh environment of the gastrointestinal tract. The present study explores probiotic features of Bacillus paranthracis strain MHSD3 through genomic analysis and in vitro probiotic assays. The draft genome of strain MHSD3 contained genes associated with tolerance to gastrointestinal stress and adhesion. Cluster genes responsible for the synthesis of antimicrobial non-ribosomal peptide synthetases, bacteriocins, and linear azole-containing peptides were identified. Additionally, strain MHSD3 was able to survive in an acidic environment, had the tolerance to bile salt, and exhibited the capability to tolerate gastric juices. Moreover, the isolate was found to possess strong cell surface traits such as high auto-aggregation and hydrophobicity indices of 79 and 54%, respectively. Gas chromatography–mass spectrometry analysis showed that the strain produced secondary metabolites such as amino acids, phenolic compounds, and organic acid, known to exert health-promoting properties, including the improvement of gastrointestinal tract health.",Bacteria,"Isolate, AMR","(Meta)genomics, (Meta)proteomics, Metabolomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
421,2021,"Isolation and Characterization of a Novel Temperate Escherichia coli Bacteriophage, Kapi1, Which Modifies the O-Antigen and Contributes to the Competitiveness of Its Host during Colonization of the Murine Gastrointestinal Tract","Although research exploring the microbiome has exploded in recent years, our understanding of the viral component of the microbiome is lagging far behind our understanding of the bacterial component. The vast majority of intestinal bacteria carry prophages integrated into their chromosomes, but most of these bacteriophages remain uncharacterized and unexplored. ABSTRACT In this study, we describe the isolation and characterization of novel bacteriophage vB_EcoP_Kapi1 (Kapi1) isolated from a strain of commensal Escherichia coli inhabiting the gastrointestinal tract of healthy mice. We show that Kapi1 is a temperate phage integrated into tRNA argW of strain MP1 and describe its genome annotation and structure. Kapi1 shows limited homology to other characterized prophages but is most similar to the seroconverting phages of Shigella flexneri and clusters taxonomically with P22-like phages. The receptor for Kapi1 is the lipopolysaccharide O-antigen, and we further show that Kapi1 alters the structure of its host’s O-antigen in multiple ways. Kapi1 displays unstable lysogeny, and we find that the lysogenic state is more stable during growth in simulated intestinal fluid. Furthermore, Kapi1 lysogens have a competitive advantage over their nonlysogenic counterparts both in vitro and in vivo, suggesting a role for Kapi1 during colonization. We thus report the use of MP1 and Kapi1 as a model system to explore the molecular mechanisms of mammalian colonization by E. coli to ask what the role(s) of prophages in this context might be. IMPORTANCE Although research exploring the microbiome has exploded in recent years, our understanding of the viral component of the microbiome is lagging far behind our understanding of the bacterial component. The vast majority of intestinal bacteria carry prophages integrated into their chromosomes, but most of these bacteriophages remain uncharacterized and unexplored. Here, we isolate and characterize a novel temperate bacteriophage infecting a commensal strain of Escherichia coli. We aim to explore the interactions between bacteriophages and their hosts in the context of the gastrointestinal tract, asking what role(s) temperate bacteriophages may play in growth and survival of bacteria in the gut. Understanding the fundamental biology of gut commensal bacteria can inform the development of novel antimicrobial or probiotic strategies for intestinal infections.","Bacteria, Virus, Microbiome","Isolate, Community (taxonomy) profiling, Interactome, AMR, Annotation",(Meta)genomics,Health & Disease
422,2021,Development of Stable Mixed Microbiota for High Yield Power to Methane Conversion,"The performance of a mixed microbial community was tested in lab-scale power-to-methane reactors at 55 °C. The main aim was to uncover the responses of the community to starvation and stoichiometric H2/CO2 supply as the sole substrate. Fed-batch reactors were inoculated with the fermentation effluent of a thermophilic biogas plant. Various volumes of pure H2/CO2 gas mixtures were injected into the headspace daily and the process parameters were followed. Gas volumes and composition were measured by gas-chromatography, the headspace was replaced with N2 prior to the daily H2/CO2 injection. Total DNA samples, collected at the beginning and end (day 71), were analyzed by metagenome sequencing. Low levels of H2 triggered immediate CH4 evolution utilizing CO2/HCO3− dissolved in the fermentation effluent. Biomethanation continued when H2/CO2 was supplied. On the contrary, biomethane formation was inhibited at higher initial H2 doses and concomitant acetate formation indicated homoacetogenesis. Biomethane production started upon daily delivery of stoichiometric H2/CO2. The fed-batch operational mode allowed high H2 injection and consumption rates albeit intermittent operation conditions. Methane was enriched up to 95% CH4 content and the H2 consumption rate attained a remarkable 1000 mL·L−1·d−1. The microbial community spontaneously selected the genus Methanothermobacter in the enriched cultures.",Microbiome,Community (taxonomy) profiling,"(Meta)genomics, Metagenomics",Ecosystem Dynamics & Biodiversity
423,2021,Microbial Transformation of Chlordecone and Two Transformation Products Formed During in situ Chemical Reduction,"Chlordecone (CLD) is a very persistent synthetic organochlorine pesticide found in the French West Indies. Recently published work has demonstrated the potential of zero-valent iron to dechlorinate CLD by in situ chemical reduction (ISCR) in soils under water-saturated conditions, forming mono- to penta-dechlorinated CLD transformation products. These transformation products are more mobile than CLD and less toxic; however, nothing is known about their further degradation, although increasing evidence of CLD biodegradation by bacteria is being found. The present study began with the enrichment from wastewater sludge of a CLD-transforming community which was then inoculated into fresh media in the presence of either CLD or two of the main ISCR transformation products, 10-monohydroCLD (-1Cl-CLD) and tri-hydroCLD (-3Cl-CLD). Carried out in triplicate batches and incubated at 38°C under anoxic conditions and in the dark, the cultures were sampled regularly during 3 months and analyzed for CLD, -1Cl-CLD, -3Cl-CLD, and possible transformation products by gas chromatography coupled to mass spectrometry. All batches showed a decrease in the amended substrates (CLD or hydroCLD). CLD degradation occurred with concomitant formation of a nine-carbon compound (pentachloroindene) and two sulfur-containing transformation products (chlordecthiol, CLD-SH; methyl chlordecsulfide, CLD-SCH3), demonstrating competing transformation pathways. In contrast, -1Cl-CLD and -3Cl-CLD only underwent a sequential reductive sulfidation/S-methylation process resulting in -1Cl-CLD-SH and -1Cl-CLD-SCH3 on the one hand, and -3Cl-CLD-SH, -3Cl-CLD-SCH3 on the other hand. Some sulfur-containing transformation products have been reported previously with single bacterial strains, but never in the presence of a complex microbial community. At the end of the experiment, bacterial and archaeal populations were investigated by 16S rRNA gene amplicon sequencing. The observed diversity was mostly similar in the CLD and -1Cl-CLD conditions to the inoculum with a dominant archaea genus, Methanobacterium, and four OTU affiliated to bacteria, identified at the family (Spirochaetaceae) or genus level (Desulfovibrio, Aminobacterium, and Soehngenia). On the other hand, in the -3Cl-CLD condition, although the same OTU were found, Clostridium sensu stricto 7, Candidatus Cloacimonas, and Proteiniphilum were also present at > 2% sequences. Presence of methanogens and sulfate-reducing bacteria could contribute to sulfidation and S-methylation biotransformations. Overall, these results contribute to increasing our knowledge on the biodegradability of CLD and its transformation products, helping to progress toward effective remediation solutions.","Bacteria, Archaea, Microbiome",Community (taxonomy) profiling,"Metabarcoding, (Meta)proteomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
424,2021,BioF is a novel B2 metallo-β-lactamase from Pseudomonas sp. isolated from an on-farm biopurification system.,"Antimicrobial resistance represents a major global health concern and environmental bacteria are considered a source of resistance genes. Carbapenems are often used as the last antibiotic option to treat multidrug-resistant bacteria. Metallo-β-lactamases (MBLs) are able to render resistance to almost all β-lactam antibiotics, including carbapenems. Unfortunately, there are no inhibitors against MBLs for clinical use. Subclass B2 MBLs are the only enzymes working as strict carbapenemases, under-represented, encoded in chromosome genes and only functional as mono-zinc enzymes. Despite current efforts in MBLs inhibitor development, B2 carbapenemase activity is especially difficult to suppress, even in vitro. In this study we characterized BioF, a novel subclass B2 MBL identified in a new environmental Pseudomonas sp. strain isolated from an on-farm biopurification system (BPS). Although blaBioF is most likely a chromosomal gene, it is found in a genomic island and may represent a step previous to the horizontal transmission of B2 genes. The new B2 MBL is active as a mono-zinc enzyme and is a potent carbapenemase with incipient activity against some cephalosporins. BioF activity is not affected by excess zinc and is only inhibited at high metal chelator concentrations. The discovery and characterization of B2 MBL BioF as a potent carbapenemase in a BPS bacterial isolate emphasizes the importance of exploring antibiotic resistances existing in the environmental microbiota under the influence of human activities before they could emerge clinically.","Bacteria, Microbiome","Isolate, Functional analysis, AMR",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
425,2021,Evaluation of whole-genome sequencing-based subtyping methods for the surveillance of Shigella spp. and the confounding effect of mobile genetic elements in long-term outbreaks,"Many public health laboratories across the world have implemented whole-genome sequencing (WGS) for the surveillance and outbreak detection of foodborne pathogens. PulseNet-affiliated laboratories have determined that most single-strain foodborne outbreaks are contained within 0–10 multi-locus sequence typing (MLST)-based allele differences and/or core genome single-nucleotide variants (SNVs). In addition to being a food- and travel-associated outbreak pathogen, most Shigella spp. cases occur through continuous person-to-person transmission, predominantly involving men who have sex with men (MSM), leading to long-term and recurrent outbreaks. Continuous transmission patterns coupled to genetic evolution under antibiotic treatment pressure require an assessment of existing WGS-based subtyping methods and interpretation criteria for cluster inclusion/exclusion. An evaluation of 4 WGS-based subtyping methods [SNVPhyl, coreMLST, core genome MLST (cgMLST) and whole-genome MLST (wgMLST)] was performed on 9 foodborne-, travel- and MSM-related retrospective outbreaks from a collection of 91 Shigella flexneri and 232  Shigella sonnei isolates to determine the methods’ epidemiological concordance, discriminatory power, robustness and ability to generate stable interpretation criteria. The discriminatory powers were ranked as follows: coreMLST<SNVPhyl<cgMLST<wgMLST (range: 0.970–1.000). The genetic differences observed for non-MSM-related Shigella spp. outbreaks respect the standard 0–10 allele/SNV guideline; however, mobile genetic element (MGE)-encoded loci caused inflated genetic variation and discrepant phylogenies for prolonged MSM-related S. sonnei outbreaks via wgMLST. The S. sonnei correlation coefficients of wgMLST were also the lowest at 0.680, 0.703 and 0.712 for SNVPhyl, coreMLST and cgMLST, respectively. Plasmid maintenance, mobilization and conjugation-associated genes were found to be the main source of genetic distance inflation in addition to prophage-related genes. Duplicated alleles arising from the repeated nature of IS elements were also responsible for many false cg/wgMLST differences. The coreMLST approach was shown to be the most robust, followed by SNVPhyl and wgMLST for inter-laboratory comparability. Our results highlight the need for validating species-specific subtyping methods based on microbial genome plasticity and outbreak dynamics in addition to the importance of filtering confounding MGEs for cluster detection.","Virus, Pathogen","Isolate, (M)LST, Variant",(Meta)genomics,Health & Disease
426,2021,The impact of the Th17:Treg axis on the IgA-Biome across the glycemic spectrum,"Secretory IgA (SIgA) is released into mucosal surfaces where its function extends beyond that of host defense to include the shaping of resident microbial communities by mediating exclusion/inclusion of respective microbes and regulating bacterial gene expression. In this capacity, SIgA acts as the fulcrum on which host immunity and the health of the microbiota are balanced. We recently completed an analysis of the gut and salivary IgA-Biomes (16S rDNA sequencing of SIgA-coated/uncoated bacteria) in Mexican-American adults that identified IgA-Biome differences across the glycemic spectrum. As Th17:Treg ratio imbalances are associated with gut microbiome dysbiosis and chronic inflammatory conditions such as type 2 diabetes, the present study extends our prior work by examining the impact of Th17:Treg ratios (pro-inflammatory:anti-inflammatory T-cell ratios) and the SIgA response (Th17:Treg-SIgA axis) in shaping microbial communities. Examining the impact of Th17:Treg ratios (determined by epigenetic qPCR lymphocyte subset quantification) on the IgA-Biome across diabetes phenotypes identified a proportional relationship between Th17:Treg ratios and alpha diversity in the stool IgA-Biome of those with dysglycemia, significant changes in community composition of the stool and salivary microbiomes across glycemic profiles, and genera preferentially abundant by T-cell inflammatory phenotype. This is the first study to associate epigenetically quantified Th17:Treg ratios with both the larger and SIgA-fractionated microbiome, assess these associations in the context of a chronic inflammatory disease, and offers a novel frame through which to evaluate mucosal microbiomes in the context of host responses and inflammation.","Bacteria, Microbiome","Community (taxonomy) profiling, Functional analysis",Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
427,2021,Genome features and antibiotic resistance of Pseudomonas aeruginosa strains isolated in patients with cystic fibrosis in the Russian Federation.,"Cystic fibrosis (CF) is a common genetic disease, manifested by airway obstruction and chronic respiratory infection. The most prevalent infectious agent in airways of CF patients is Pseudomonas aeruginosa. This study aimed to determine sequence-types, antimicrobial resistance phenotypes and genes defining adaptive antibiotic resistance in P. aeruginosa isolates recovered from CF patients in Russia. In total, 84 P. aeruginosa strains from 64 CF patients were analyzed. Susceptibility to antibiotics was determined by disk diffusion test. Whole-genome sequencing (WGS) was performed on MGISEQ-2000 platform. SPAdes software, Galaxy, ResFinder, PubMLST were used for analysis of WGS data. Examined P. aeruginosa isolates belonged to 53 different sequence-types (STs), including 6 new STs. High-risk epidemic clone ST235 (10%) and clonal CF P. aeruginosa strains ST17, ST242, ST274 (7%) were detected. Non-susceptibility to ticarcillin-clavulanate, cefepime, imipenem was observed in 63%, 12% and 25% of isolates, respectively; to tobramycin - in 24%, to amikacin - in 35%; to ciprofloxacin, levofloxacin - in 35% and 57% of strains, respectively. Multidrug-resistant phenotype was detected in 18% of isolates. In examined strains, genes of beta-lactamases VIM-2 (5 ST235 strains), VEB-1 (two ST2592 strains), GES-1 (1 ST235 strain), PER-1 (1 ST235 strain) were found. Ciprofloxacin-modifying enzyme CrpP gene was detected in 67% of isolates, aminoglycoside-modifying enzymes AAD, ANT, AAC genes - in 7%, 4%, 12% of strains, respectively. P. aeruginosa isolates from CF patients in Russia demonstrate a high clonal diversity, which is similar to other P. aeruginosa infections. The isolates of high-risk clone and clonal CF P. aeruginosa strains are detected.",,"Isolate, Community (taxonomy) profiling, AMR, (M)LST",(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
428,2021,Cross-Talk Between Intestinal Microbiota and Host Gene Expression in Gilthead Sea Bream (Sparus aurata) Juveniles: Insights in Fish Feeds for Increased Circularity and Resource Utilization,"New types of fish feed based on processed animal proteins (PAPs), insect meal, yeast, and microbial biomasses have been used with success in gilthead sea bream. However, some drawback effects on feed conversion and inflammatory systemic markers were reported in different degrees with PAP- and non-PAP-based feed formulations. Here, we focused on the effects of control and two experimental diets on gut mucosal-adherent microbiota, and how it correlated with host transcriptomics at the local (intestine) and systemic (liver and head kidney) levels. The use of tissue-specific PCR-arrays of 93 genes in total rendered 13, 12, and 9 differentially expressed (DE) genes in the intestine, liver, and head kidney, respectively. Illumina sequencing of gut microbiota yielded a mean of 125,350 reads per sample, assigned to 1,281 operational taxonomic unit (OTUs). Bacterial richness and alpha diversity were lower in fish fed with the PAP diet, and discriminant analysis displayed 135 OTUs driving the separation between groups with 43 taxa correlating with 27 DE genes. The highest expression of intestinal pcna and alpi was achieved in PAP fish with intermediate values in non-PAP, being the pro-inflammatory action of alpi associated with the presence of Psychrobacter piscatorii. The intestinal muc13 gene was down-regulated in non-PAP fish, with this gene being negatively correlated with anaerobic (Chloroflexi and Anoxybacillus) and metal-reducing (Pelosinus and Psychrosinus) bacteria. Other inflammatory markers (igm, il8, tnfα) were up-regulated in PAP fish, positively correlating the intestinal igm gene with the inflammasome activator Escherichia/Shigella, whereas the systemic expression of il8 and tnfα was negatively correlated with the Bacilli class in PAP fish and positively correlated with Paracoccus yeei in non-PAP fish. Overall changes in the expression pattern of il10, galectins (lgals1, lgals8), and toll-like receptors (tlr2, tlr5, tlr9) reinforced the anti-inflammatory profile of fish fed with the non-PAP diet, with these gene markers being associated with a wide range of OTUs. A gut microbiota-liver axis was also established, linking the microbial generation of short chain fatty acids with the fueling of scd1- and elovl6-mediated lipogenesis. In summary, by correlating the microbiome with host gene expression, we offer new insights in the evaluation of fish diets promoting gut and metabolism homeostasis, and ultimately, the health of farmed fish.","Bacteria, Microbiome",Community (taxonomy) profiling,(Meta)transcriptomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
429,2021,Metavirome Survey of Eight Ray-Finned Fishes Revealed Domination of Giant Viral Members of Pandoravirus and Megaviricetes,"
 Background

Fishes are an essential source of food all around the world. The bulk of the microbial diversity in marine ecosystems is uncharacterized, with viruses accounting for most of the remaining diversity. This may be a major danger to public health, therefore knowing the variety of viruses in the marine ecosystem is critical. The goal was to assess the virome of ray-finned fishes in terms of variety and relation to human diseases.
Results

It was revealed that the viral kingdom was allocated 2,228,888 sequence reads. The pooled genome assay of the ray-finned fishes indicated a significant abundance of viruses in three clades of the genus Pandoravirus (31%), the order of Herepesvirales (23%), and the kingdom of Bamfordvirae (10%). Furthermore, 432281/2031445 reads (21%) of mapped reads were unassigned viruses. According to the GiantVirusFinder findings, 17931 hits (4.15$) were mapped to the genomes of known giantviruses.
Conclusion

Humans eat seafood regularly as one of their primary diets. Ray-finned fishes have a long evolutionary history and, as demonstrated here, are hosts to a variety of large DNA viruses. Fish must be screened for viral infections that are linked to human illnesses.",Virus,Community (taxonomy) profiling,(Meta)genomics,"Ecosystem Dynamics & Biodiversity, Health & Disease"
430,2021,Natural Horizontal Gene Transfer of Antimicrobial Resistance Genes in Campylobacter spp. From Turkeys and Swine,"Antibiotic-resistant Campylobacter constitutes a serious threat to public health. The clonal expansion of resistant strains and/or the horizontal spread of resistance genes to other strains and species can hinder the clinical effectiveness of antibiotics to treat severe campylobacteriosis. Still, gaps exist in our understanding of the risks of acquisition and spread of antibiotic resistance in Campylobacter. While the in vitro transfer of antimicrobial resistance genes between Campylobacter species via natural transformation has been extensively demonstrated, experimental studies have favored the use of naked DNA to obtain transformants. In this study, we used experimental designs closer to real-world conditions to evaluate the possible transfer of antimicrobial resistance genes between Campylobacter strains of the same or different species (Campylobacter coli or Campylobacter jejuni) and originating from different animal hosts (swine or turkeys). This was evaluated in vitro through co-culture experiments and in vivo with dual-strain inoculation of turkeys, followed by whole genome sequencing of parental and newly emerged strains. In vitro, we observed four independent horizontal gene transfer events leading to the acquisition of resistance to beta-lactams (blaOXA), aminoglycosides [aph(2′′)-If and rpsL] and tetracycline [tet(O)]. Observed events involved the displacement of resistance-associated genes by a mutated version, or the acquisition of genomic islands harboring a resistance determinant by homologous recombination; we did not detect the transfer of resistance-carrying plasmids even though they were present in some strains. In vivo, we recovered a newly emerged strain with dual-resistance pattern and identified the replacement of an existing non-functional tet(O) by a functional tet(O) in the recipient strain. Whole genome comparisons allowed characterization of the events involved in the horizontal spread of resistance genes between Campylobacter following in vitro co-culture and in vivo dual inoculation. Our study also highlights the potential for antimicrobial resistance transfer across Campylobacter species originating from turkeys and swine, which may have implications for farms hosting both species in close proximity.",Bacteria,"Functional analysis, AMR",(Meta)genomics,Health & Disease
431,2021,A CURE for Salmonella: A Laboratory Course in Pathogen Microbiology and Genomics,"Rapid advances in genomics and bioinformatics, the vast amount of data generated by next-generation sequencing, and the penetration of the ‘-omics’ into many areas of biology have created a need for students with hands-on experience with computational and ‘big data’ methods. Additionally, laboratory experience in the isolation, identification, and characterization of unknown bacteria is a vital part of a microbiology student’s training. This lesson is a course-based undergraduate research experience (CURE) focusing on Salmonella enterica, a common and relatively low-virulence foodborne pathogen. In Module 1, students isolate and identify S. enterica strains from stream sediment, poultry litter, or other sources. They conduct phenotypic evaluation of antimicrobial resistance (AMR) and can search for plasmids. Isolates’ whole genomes may be sequenced by the United States FDA or public health laboratories, typically at no charge. In Module 2, students learn basic methods of genome assembly, analysis, annotation, and comparative genomics. They use easily accessible, primarily web-based tools to assemble their genomes and investigate areas of interest including serotype, AMR genes, and in silico evidence of mobile genetic elements. Either module can be used as a standalone learning experience. After course completion, students will be able to isolate and identify Salmonella from natural sources, and use computational analysis of microbial genomic data, particularly of the Enterobacteriaceae. This lesson offers undergraduate microbiologists a genuine research experience and a real-world microbiology application in genomic epidemiology, as well as a valuable mix of field, laboratory, and computational skills and experiences. Citation: Jurgensen SK, Harsh J, Herrick JB. 2021. A CURE for Salmonella: A Laboratory Course in Pathogen Microbiology and Genomics. CourseSource. https://doi.org/10.24918/cs.2021.24 Editor: William Morgan, College of Wooster Received: 5/19/2020; Accepted: 2/24/2021; Published: 9/15/2021 Copyright: © 2021 Jurgensen, Harsh, and Herrick. This is an open-access article distributed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License, which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original author and source are credited. Conflict of Interest and Funding Statement: None of the authors has a financial, personal, or professional conflict of interest related to this work. Supporting Materials: Supporting Files S1. CURE for Salmonella – Laboratory safety contract; S2. CURE for Salmonella – Pre-enrichment and enrichment media preparation; S3. CURE for Salmonella – Field sampling protocol; S4. CURE for Salmonella – Lab notebook grading rubric; S5. CURE for Salmonella – Pre-enrichment and enrichment inoculation protocol; S6. CURE for Salmonella – Plate media preparation; S7. CURE for Salmonella – Plating and purification protocol; S8. CURE for Salmonella – Miscellaneous test protocols oxidase, catalase, KOH; S9. CURE for Salmonella – invA PCR and gel visualization protocol; S10. CURE for Salmonella – Preparing isolates for shipping and freezing; S11. CURE for Salmonella – Bioinformatics Lab Guide Navigating and using GalaxyTrakr and Galaxy; S12. CURE for Salmonella – Bioinformatics lab notebook grading rubric; S13. CURE for Salmonella – Bioinformatics Lab Guide Salmonella serotyping; S14. CURE for Salmonella – Bioinformatics Lab Guide Assessing & filtering illumina data using FastQC and Trimmomatic; S15. CURE for Salmonella – Bioinformatics Lab Guide File naming conventions; S16. CURE for Salmonella – Bioinformatics Lab Guide Genome assembly using SPAdes and Shovill; S17. CURE for Salmonella – Bioinformatics Lab Guide Assessing assembly quality Using QUAST and Bandage; S18. CURE for Salmonella – Bioinformatics Lab Guide Selecting reference genomes/Ordering and viewing assembled contigs using Mauve; S19. CURE for Salmonella – Bioinformatics Lab Guide Gene annotation; S20. CURE for Salmonella – Bioinformatics Lab Guide Antibiotic resistance gene detection; S21. CURE for Salmonella – Bioinformatics Lab Guide Miscellaneous gene and genetic feature detection; S22. CURE for Salmonella – Presentation evaluation rubric; S23. CURE for Salmonella – Poster evaluation rubric; S24. CURE for Salmonella – Sources and description of preexisting survey instruments; S25. CURE for Salmonella – Course Overview; S26. CURE for Salmonella – Media, Isolation, Sampling; S27. CURE for Salmonella – Intro to GalaxyTrakr mini-lecture; S28. CURE for Salmonella – Overview of Next-Gen Sequencing and Assembly; and S29. CURE for Salmonella – FastQC & Trimmomatic. *Correspondence to: Dept. of Biology, MSC 7801, James Madison University, Harrisonburg, VA USA 22807. Email: herricjb@jmu.edu. CourseSource | www.coursesource.org 2021 | Volume 08 1 Lesson","Bacteria, Pathogen","Isolate, AMR, MAGs, Annotation, Comparative analysis",(Meta)genomics,Health & Disease
